region,year,month_num,month,IDI,IDI_with_infra
인제,2025,2,2025-02,0.24632829291528538,0.33200828821726924
인제,2025,3,2025-03,0.2528051036275967,0.33686589625150276
인제,2025,4,2025-04,0.49506556158993575,0.5185612397232571
인제,2025,5,2025-05,0.4680942779996162,0.49833277703051737
인제,2025,6,2025-06,-0.1941879348804305,0.0016211173704823445
인제,2025,7,2025-07,-0.33557570453160457,-0.1044197098678982
인제,2025,8,2025-08,-0.09530617974671089,0.07578243372077206
인제,2025,9,2025-09,0.3499241562204625,0.4097051856961521
인제,2025,10,2025-10,1.077115549442494,0.9550987306126758
철원,2023,1,2023-01,-0.26488058200754655,-0.29469072245114314
철원,2023,2,2023-02,-0.3296039921820188,-0.3432332800819973
철원,2023,3,2023-03,-0.9808552660725542,-0.8316717354998989
철원,2023,4,2023-04,-1.0516179724075767,-0.8847437652511657
철원,2023,5,2023-05,-0.7469893835173357,-0.656272323583485
철원,2023,6,2023-06,-0.6079202521699861,-0.5519704750729728
철원,2023,7,2023-07,-0.32053428289762986,-0.33643099811870564
철원,2023,8,2023-08,-0.3769126414388744,-0.378714767024639
철원,2023,9,2023-09,-0.1625509099304969,-0.21794346839335593
철원,2023,10,2023-10,-0.24027705147727038,-0.276238074553436
철원,2023,11,2023-11,-0.0005213000692222044,-0.09642126099739991
철원,2023,12,2023-12,0.3125595910424111,0.1383894073363251
철원,2024,1,2024-01,0.4040068444662856,0.20697484740423094
철원,2024,2,2024-02,0.1435113934739829,0.011603259160003918
철원,2024,3,2024-03,0.17570413829088205,0.035747817772678284
철원,2024,4,2024-04,-0.2700346048579477,-0.29855623958894406
철원,2024,5,2024-05,-0.5786354806314478,-0.5300068964190691
철원,2024,6,2024-06,-1.2057301080351004,-1.0003278669718085
철원,2024,7,2024-07,-0.6367003423795361,-0.5735555427301353
철원,2024,8,2024-08,-0.1843328477329209,-0.23427992174517392
철원,2024,9,2024-09,-0.09576626046463925,-0.1678549812939627
철원,2024,10,2024-10,0.19239101840655726,0.04826297785943469
철원,2024,11,2024-11,-0.02789649273635623,-0.11695265549775043
철원,2024,12,2024-12,-0.03839718573552867,-0.12482817524712976
철원,2025,1,2025-01,-0.715364788061302,-0.6325538769914597
철원,2025,2,2025-02,-1.0216070668734976,-0.8622355861006065
철원,2025,3,2025-03,-1.114467267841282,-0.9318807368264447
철원,2025,4,2025-04,-0.7205220783508302,-0.6364218447086059
철원,2025,5,2025-05,-0.6118839144608532,-0.5549432217911232
철원,2025,6,2025-06,-1.0606533802442633,-0.8915203211286806
철원,2025,7,2025-07,-1.1220769164268125,-0.9375879732655926
철원,2025,8,2025-08,-0.9419866601286158,-0.8025202810419451
철원,2025,9,2025-09,-0.5111828611274313,-0.4794174317910567
철원,2025,10,2025-10,0.028463551536743476,-0.07468262229292565
춘천,2023,1,2023-01,0.5137753236991619,0.897824297865212
춘천,2023,2,2023-02,0.5191236645023505,0.9018355534676034
춘천,2023,3,2023-03,-0.07648239537651329,0.45513100855845556
춘천,2023,4,2023-04,-0.3368510161216764,0.2598545429995832
춘천,2023,5,2023-05,-0.17236592918675697,0.38321835820077277
춘천,2023,6,2023-06,-0.05967675114864438,0.4677352417293572
춘천,2023,7,2023-07,0.32622185626289363,0.7571591972880107
춘천,2023,8,2023-08,0.2624241358534263,0.7093109069809103
춘천,2023,9,2023-09,0.5072876883756091,0.8929585713725473
춘천,2023,10,2023-10,0.37144321219442283,0.7910752142366576
춘천,2023,11,2023-11,0.730733127034951,1.0605426503670539
춘천,2023,12,2023-12,1.1279001193197773,1.3584178945806733
춘천,2024,1,2024-01,1.5185180337611452,1.6513813304116995
춘천,2024,2,2024-02,1.3227359057305648,1.5045447343887641
춘천,2024,3,2024-03,1.2827959657175187,1.4745897793789795
춘천,2024,4,2024-04,0.7422542653636187,1.0691835041135547
춘천,2024,5,2024-05,0.31164610553489763,0.7462273842420137
춘천,2024,6,2024-06,-0.37356685650316773,0.2323176627134647
춘천,2024,7,2024-07,0.08953090914499177,0.5796409869495843
춘천,2024,8,2024-08,0.18824215473964867,0.653674421145577
춘천,2024,9,2024-09,0.2240488353894563,0.6805294316329327
춘천,2024,10,2024-10,0.6164893671862303,0.9748598304805132
춘천,2024,11,2024-11,0.8228151634661337,1.1296041776904406
춘천,2024,12,2024-12,0.9949132097793361,1.2586777124253425
춘천,2025,1,2025-01,0.4526537470587819,0.8519831153849269
춘천,2025,2,2025-02,0.11343652661004018,0.5975702000483707
춘천,2025,3,2025-03,0.040361290624183664,0.5427637730589783
춘천,2025,4,2025-04,0.14536355402439907,0.6215154706091398
춘천,2025,5,2025-05,0.2185536556550888,0.6764080468321572
춘천,2025,6,2025-06,-0.2887463315331908,0.2959330564409474
춘천,2025,7,2025-07,-0.2512450428061015,0.3240590229862644
춘천,2025,8,2025-08,0.05909623295645291,0.5568149798081802
춘천,2025,9,2025-09,0.45280322261652284,0.8520952220532326
춘천,2025,10,2025-10,1.087252592485768,1.3279322494551664
홍천,2023,1,2023-01,0.15878171416635486,0.016361974538638635
홍천,2023,2,2023-02,0.2238971366857833,0.06519854142820997
홍천,2023,3,2023-03,-0.2558844406947118,-0.2946376416071613
홍천,2023,4,2023-04,-0.6947299330476812,-0.6237717608718885
홍천,2023,5,2023-05,-0.5351910873582438,-0.5041176266048104
홍천,2023,6,2023-06,-0.37221512332439827,-0.3818856535794262
홍천,2023,7,2023-07,0.053665600821452074,-0.06247511047003845
홍천,2023,8,2023-08,0.17287880649481627,0.0269347937849847
홍천,2023,9,2023-09,0.3608605846939568,0.16792112743434012
