region,month,SPI_raw,year,month_num,WUI_raw,SSI_global_raw,infra_index,SPI_z,WUI_z,SSI_z,infra_z,IDI,IDI_with_infra
원주,2023-06,-0.299,2023,6,81.9,51.623,0.3944838039200373,-0.45739742441806946,0.2879320684981977,-1.4727105651716563,-0.6094271841819835,-0.5473919736971761,-0.5629007763183779
원주,2023-07,0.565,2023,7,81.9,57.122580645161285,0.3944838039200373,0.6109906846060283,0.2879320684981977,-0.8492087974490912,-0.6094271841819835,0.01657131855171164,-0.13992830713171214
원주,2023-08,0.482,2023,8,81.9,63.80010752688171,0.3944838039200373,0.5083561787622782,0.2879320684981977,-0.09216019985633225,-0.6094271841819835,0.23470934913471456,0.02367521580554005
원주,2023-09,0.337,2023,9,81.9,72.75544444444444,0.3944838039200373,0.3290549336135582,0.2879320684981977,0.923129648391316,-0.6094271841819835,0.5133722168343572,0.23267236658027204
원주,2023-10,0.028,2023,10,81.9,75.08333333333336,0.3944838039200373,-0.05304220259992129,0.2879320684981977,1.1870484689219298,-0.6094271841819835,0.4739794449400687,0.20312778765955566
원주,2023-11,0.367,2023,11,81.9,75.25422222222223,0.3944838039200373,0.3661517429546726,0.2879320684981977,1.2064225869103806,-0.6094271841819835,0.6201687994544169,0.3127698035453168
원주,2023-12,1.102,2023,12,81.9,75.03129032258066,0.3944838039200373,1.2750235718119782,0.2879320684981977,1.1811482173763033,-0.6094271841819835,0.914701285895493,0.5336691683761239
원주,2024-01,1.735,2024,1,82.9,74.22086021505375,0.3944838039200373,2.0577662489094943,0.38507954837141967,1.0892676473362581,-0.6094271841819835,1.177371148205724,0.7306715651087972
원주,2024-02,1.486,2024,2,82.9,73.21758620689656,0.3944838039200373,1.749862731378244,0.38507954837141967,0.9755238624994114,-0.6094271841819835,1.0368220474163583,0.6252597395167728
원주,2024-03,1.087,2024,3,82.9,77.35247311827958,0.3944838039200373,1.256475167141421,0.38507954837141967,1.4443067506726244,-0.6094271841819835,1.0286204887284882,0.6191085705008703
원주,2024-04,0.31,2024,4,82.9,71.74188888888891,0.3944838039200373,0.2956678052065551,0.38507954837141967,0.8082202177731993,-0.6094271841819835,0.4963225237837247,0.21988509679229765
원주,2024-05,0.029,2024,5,82.9,61.732580645161285,0.3944838039200373,-0.05180564228855081,0.38507954837141967,-0.32656110216891254,-0.6094271841819835,0.002237601304652115,-0.1506785950670068
원주,2024-06,-0.378,2024,6,82.9,49.283444444444434,0.3944838039200373,-0.5550856890163377,0.38507954837141967,-1.7379520660590866,-0.6094271841819835,-0.6359860689013349,-0.629346347721497
원주,2024-07,0.411,2024,7,82.9,55.669677419354834,0.3944838039200373,0.4205603966549739,0.38507954837141967,-1.0139282166319283,-0.6094271841819835,-0.06942942386851159,-0.20442886394687956
